feature,mean_delta_ai_minus_real,median_delta,cohens_dz,direction_consistency_ai_gt_real,exact_signflip_p,q_fdr,abs_effect
ela_mean,-0.0017427152197342366,-0.0021099515724927187,-1.4923253410307193,0.125,0.015625,0.03125,1.4923253410307193
lbp_dominant_bin,0.2033095359802246,0.2698650360107422,1.4715200473584602,0.875,0.015625,0.03125,1.4715200473584602
lbp_hist_entropy,-0.6101011680997034,-0.7435385532207668,-1.459844405298461,0.125,0.015625,0.03125,1.459844405298461
HH3_absmean,-0.01377101056277752,-0.011222705245018005,-1.4582107702013902,0.0,0.0078125,0.25,1.4582107702013902
HH3_entropy,-0.6309107052214897,-0.6970120486831761,-1.4262720624026228,0.125,0.015625,0.03125,1.4262720624026228
gradient_mean,-0.056804300751537085,-0.0617452934384346,-1.4196839414278186,0.0,0.0078125,0.03125,1.4196839414278186
HL3_entropy,-0.4330939287113358,-0.47211869426996644,-1.4175652960864256,0.125,0.015625,0.03125,1.4175652960864256
glcm_homogeneity_mean,0.08799607784684518,0.0878570122525057,1.4167845505598142,1.0,0.0078125,0.04411764705882353,1.4167845505598142
dct_coeff_abs_mean,-0.007765618851408362,-0.0063149998895823956,-1.4094630603690659,0.0,0.0078125,0.05,1.4094630603690659
lbp_std_code,-0.525708403265736,-0.5856136240482586,-1.4037299102074756,0.125,0.015625,0.03125,1.4037299102074756
dct_highfreq_ratio_mean,-0.08044320914687737,-0.09072686268761987,-1.3727487874733035,0.125,0.015625,0.03125,1.3727487874733035
glcm_dissimilarity_mean,-0.35553592331094086,-0.3021655856861575,-1.2815835832115947,0.0,0.0078125,0.041666666666666664,1.2815835832115947
HL2_absmean,-0.015866915229707956,-0.013189105316996574,-1.2274378098767504,0.0,0.0078125,0.15,1.2274378098767504
hp_absmean,-0.0059520144131965935,-0.004224486881867051,-1.1251490710504635,0.0,0.0078125,0.03260869565217391,1.1251490710504635
HL2_energy,-0.003639478440163657,-0.003285501152276993,-1.1172356604195257,0.25,0.03125,0.03125,1.1172356604195257
LH3_energy,-0.00922525221540127,-0.007417595013976097,-1.1161132035323973,0.125,0.015625,0.03125,1.1161132035323973
glcm_contrast_mean,-2.0034972955799484,-1.9314657516165004,-1.0725671222112063,0.25,0.03125,0.03125,1.0725671222112063
HH2_energy,-0.0011908640244655544,-0.0009828325419221073,-1.06765666569998,0.125,0.0234375,0.03125,1.06765666569998
hp_kurtosis,9.571541577577591,8.283912658691406,1.0477490156528073,1.0,0.0078125,0.03409090909090909,1.0477490156528073
HH1_absmean,-0.005265689687803388,-0.003604644094593823,-1.041463634075527,0.125,0.015625,0.03125,1.041463634075527
laplacian_absmean,-0.06459950841963291,-0.044777512550354004,-1.0051566077094118,0.0,0.0078125,0.03571428571428571,1.0051566077094118
crossdiff_absmean,-0.009800350409932435,-0.006446124287322164,-0.9935573212190935,0.125,0.0234375,0.03125,0.9935573212190935
LH2_energy,-0.0021222475334070623,-0.001786152133718133,-0.976404361063965,0.25,0.03125,0.03125,0.976404361063965
glcm_contrast_std,-0.601718964831081,-0.5845232525770827,-0.9646993474741589,0.25,0.0390625,0.03125,0.9646993474741589
detail_energy_ratio,-0.001698862286766589,-0.0015880953657923468,-0.9636640189002879,0.125,0.0234375,0.03125,0.9636640189002879
HL1_absmean,-0.00913823745213449,-0.00648287427611649,-0.9451812519025528,0.0,0.0078125,0.1875,0.9451812519025528
HH3_energy,-0.003736254046089016,-0.0024510103394277394,-0.9420583859447309,0.125,0.015625,0.03125,0.9420583859447309
gradient_std,-0.04906648024916649,-0.051389217376708984,-0.9352254880822997,0.25,0.046875,0.03125,0.9352254880822997
dct_highfreq_abs_mean,-0.004774164874106646,-0.0029330665711313486,-0.9277304758288984,0.125,0.0390625,0.03125,0.9277304758288984
glcm_dissimilarity_std,-0.054954870619813516,-0.057040413735501436,-0.904870686973621,0.25,0.0546875,0.03125,0.904870686973621
glcm_entropy_mean,-0.5025281866568122,-0.3770070172272133,-0.8809152689372245,0.125,0.0546875,0.03125,0.8809152689372245
hp_std,-0.008201436838135123,-0.0060825953260064125,-0.879270796771707,0.25,0.0625,0.03125,0.879270796771707
LH1_energy,-0.0004853074005950475,-0.0005196569400141016,-0.8626303462687029,0.25,0.046875,0.03125,0.8626303462687029
contour_count,-586.5,-388.5,-0.7936314386827577,0.25,0.046875,0.03125,0.7936314386827577
laplacian_std,-0.08878112584352493,-0.06275363266468048,-0.7855093285655338,0.25,0.078125,0.03125,0.7855093285655338
contour_perimeter_per_area,-0.07924769595598491,-0.04991908817942203,-0.7783506369286156,0.0,0.0078125,0.046875,0.7783506369286156
edge_density,-0.041493892669677734,-0.02691650390625,-0.774247018556039,0.0,0.0078125,0.039473684210526314,0.774247018556039
glcm_ASM_std,0.0013099378586634116,0.0008513868909461528,0.7716099114301591,0.875,0.0546875,0.03125,0.7716099114301591
HL1_energy,-0.001166341648058733,-0.0007171792967710644,-0.7693158517007966,0.25,0.046875,0.03125,0.7693158517007966
crossdiff_std,-0.012900858884677291,-0.007646718993782997,-0.7568949222409074,0.25,0.0859375,0.03125,0.7568949222409074
HL3_absmean,-0.016771984286606312,-0.018031205981969833,-0.7558259778782374,0.25,0.0546875,0.03125,0.7558259778782374
HH1_energy,-0.00029190104373810755,-0.00011693933993228711,-0.7417790983291345,0.25,0.0859375,0.03125,0.7417790983291345
ela_max,-0.012254900764673948,-0.009803920984268188,-0.7119234209732843,0.125,0.09375,0.03125,0.7119234209732843
glcm_energy_mean,0.03503196402095274,0.03513070738181684,0.6988343133246049,0.75,0.09375,0.03125,0.6988343133246049
glcm_ASM_mean,0.014696044249230853,0.015947131272433815,0.6938632831199225,0.75,0.09375,0.03125,0.6938632831199225
spectral_centroid,-0.02825213817172405,-0.009141468694888926,-0.6837350940299126,0.25,0.03125,0.03125,0.6837350940299126
glcm_correlation_mean,0.056882443617247036,0.02493526040381694,0.6728486571604418,0.75,0.03125,0.03125,0.6728486571604418
low_freq_ratio,0.0606125183403492,0.02445131540298462,0.638037712735123,0.875,0.0234375,0.03125,0.638037712735123
high_freq_ratio,-0.01835160311020445,-0.006464327219873667,-0.6285417281475172,0.25,0.0625,0.03125,0.6285417281475172
g_std,-0.009688186459243298,-0.008436530828475952,-0.5671807621958249,0.25,0.1484375,0.03125,0.5671807621958249
glcm_correlation_std,-0.022917682506111987,-0.006554501230398257,-0.5409072609502968,0.25,0.078125,0.03125,0.5409072609502968
dct_dc_ratio_mean,0.011214411896884234,0.003133201313313653,0.5295177561087061,1.0,0.0078125,0.05357142857142857,0.5295177561087061
mid_freq_ratio,-0.04226097004720941,-0.01114226644858718,-0.5162731446681572,0.25,0.03125,0.03125,0.5162731446681572
glcm_energy_std,0.00108300181444474,0.0008855912299713681,0.47657865465794513,0.625,0.21875,0.03125,0.47657865465794513
intensity_std,-0.008469268679618835,-0.008249551057815552,-0.4545907228486206,0.25,0.2421875,0.03125,0.4545907228486206
r_std,-0.00866247620433569,-0.01520615816116333,-0.40784257380483296,0.375,0.296875,0.03125,0.40784257380483296
HL3_energy,-0.005841345875523984,-0.0033779549412429333,-0.35645746337587403,0.5,0.359375,0.03125,0.35645746337587403
hsv_value_mean,0.008281618356704712,0.0051635801792144775,0.3317632898689789,0.5,0.40625,0.03125,0.3317632898689789
glcm_homogeneity_std,-0.003054115177710398,-0.002709980074831194,-0.3313497436347873,0.5,0.375,0.03125,0.3313497436347873
glcm_entropy_std,0.017077896965833745,0.02365667108136439,0.32475021037899937,0.75,0.390625,0.03125,0.32475021037899937
intensity_p50,0.009749768301844597,0.005292147397994995,0.3125324937599614,0.5,0.4375,0.03125,0.3125324937599614
rgb_corr_gb,0.02949708464098722,0.000848641840946851,0.3083183046480722,0.625,0.6484375,0.03125,0.3083183046480722
crossdiff_fft_highfreq_ratio,0.015113390982151031,0.004177510738372803,0.2923976972978086,0.625,0.390625,0.03125,0.2923976972978086
intensity_p99,0.009859934449195862,-0.003760784864425659,0.2666568937154354,0.5,0.484375,0.03125,0.2666568937154354
hsv_saturation_mean,0.00833515333943069,0.012481927871704102,0.2652849996860996,0.625,0.46875,0.03125,0.2652849996860996
hsv_saturation_std,-0.005410144804045558,0.005389519035816193,-0.24501212904954794,0.625,0.5390625,0.03125,0.24501212904954794
r_entropy,-0.0762608931376314,-0.14437181126462217,-0.2111803750600909,0.375,0.578125,0.03125,0.2111803750600909
g_entropy,-0.0747505137466693,-0.13185268419279206,-0.20876182316644773,0.375,0.5390625,0.03125,0.20876182316644773
b_std,-0.004572784528136253,-0.0034165307879447937,-0.19326415341521164,0.5,0.59375,0.03125,0.19326415341521164
r_mean,0.004029538482427597,0.0064169615507125854,0.18986884602115114,0.625,0.609375,0.03125,0.18986884602115114
intensity_mean,0.004319403320550919,0.007017612457275391,0.17945901387425642,0.625,0.6015625,0.03125,0.17945901387425642
intensity_entropy,-0.06569726256054109,-0.15027320858744364,-0.17439615737350875,0.375,0.625,0.03125,0.17439615737350875
g_mean,0.004392534494400024,0.004034459590911865,0.16663077386519015,0.625,0.6640625,0.03125,0.16663077386519015
rgb_corr_rb,0.01851449731120585,-0.002541439408817514,0.1576059263177181,0.375,0.7265625,0.03125,0.1576059263177181
b_mean,0.004703138023614883,0.0022345036268234253,0.14092430883275103,0.5,0.6953125,0.03125,0.14092430883275103
intensity_p01,0.0057698063319548965,0.018521567806601524,0.09535812875619065,0.625,0.8046875,0.03125,0.09535812875619065
LL3_entropy,-0.028142349814033962,-0.1496210270417122,-0.06876467005368567,0.375,0.8671875,0.03125,0.06876467005368567
rgb_corr_rg,0.0008740673395007045,-0.0009069360365548396,0.036765989665909465,0.375,0.859375,0.03125,0.036765989665909465
b_entropy,0.011642747185806046,-0.05071826436802951,0.03372910634830336,0.5,0.9296875,0.03125,0.03372910634830336
LL3_energy,-0.00507962703704834,0.1847672462463379,-0.003024903979452167,0.5,0.9921875,0.03125,0.003024903979452167
