feature,n_pairs,mean_delta_ai_minus_real,median_delta,std_delta,cohens_dz,direction_consistency_ai_gt_real,exact_signflip_p,q_fdr
r_entropy,8,-0.0762608931376314,-0.14437181126462217,0.3611173297515526,-0.2111803750600909,0.375,0.578125,0.03125
b_std,8,-0.004572784528136253,-0.0034165307879447937,0.023660800243240212,-0.19326415341521164,0.5,0.59375,0.03125
intensity_mean,8,0.004319403320550919,0.007017612457275391,0.024069024047894544,0.17945901387425642,0.625,0.6015625,0.03125
r_mean,8,0.004029538482427597,0.0064169615507125854,0.021222747000730766,0.18986884602115114,0.625,0.609375,0.03125
intensity_entropy,8,-0.06569726256054109,-0.15027320858744364,0.37671278742590397,-0.17439615737350875,0.375,0.625,0.03125
rgb_corr_gb,8,0.02949708464098722,0.000848641840946851,0.09567088361703488,0.3083183046480722,0.625,0.6484375,0.03125
g_mean,8,0.004392534494400024,0.004034459590911865,0.02636088396224896,0.16663077386519015,0.625,0.6640625,0.03125
b_mean,8,0.004703138023614883,0.0022345036268234253,0.03337350427736756,0.14092430883275103,0.5,0.6953125,0.03125
rgb_corr_rb,8,0.01851449731120585,-0.002541439408817514,0.11747335740334051,0.1576059263177181,0.375,0.7265625,0.03125
intensity_p01,8,0.0057698063319548965,0.018521567806601524,0.06050670674030315,0.09535812875619065,0.625,0.8046875,0.03125
rgb_corr_rg,8,0.0008740673395007045,-0.0009069360365548396,0.023773801479119876,0.036765989665909465,0.375,0.859375,0.03125
LL3_entropy,8,-0.028142349814033962,-0.1496210270417122,0.4092559419257416,-0.06876467005368567,0.375,0.8671875,0.03125
b_entropy,8,0.011642747185806046,-0.05071826436802951,0.3451839804345038,0.03372910634830336,0.5,0.9296875,0.03125
LL3_energy,8,-0.00507962703704834,0.1847672462463379,1.6792688533433378,-0.003024903979452167,0.5,0.9921875,0.03125
hp_absmean,8,-0.0059520144131965935,-0.004224486881867051,0.005289978516037581,-1.1251490710504635,0.0,0.0078125,0.03260869565217391
hp_kurtosis,8,9.571541577577591,8.283912658691406,9.135338172199546,1.0477490156528073,1.0,0.0078125,0.03409090909090909
laplacian_absmean,8,-0.06459950841963291,-0.044777512550354004,0.06426810302410951,-1.0051566077094118,0.0,0.0078125,0.03571428571428571
lbp_mean_code,8,0.7093310356140137,0.7664356231689453,0.289782158333748,2.4478078281032842,1.0,0.0078125,0.0375
edge_density,8,-0.041493892669677734,-0.02691650390625,0.053592576626337325,-0.774247018556039,0.0,0.0078125,0.039473684210526314
glcm_dissimilarity_mean,8,-0.35553592331094086,-0.3021655856861575,0.2774192241289349,-1.2815835832115947,0.0,0.0078125,0.041666666666666664
glcm_homogeneity_mean,8,0.08799607784684518,0.0878570122525057,0.06210971019699169,1.4167845505598142,1.0,0.0078125,0.04411764705882353
contour_perimeter_per_area,8,-0.07924769595598491,-0.04991908817942203,0.10181490474357112,-0.7783506369286156,0.0,0.0078125,0.046875
dct_coeff_abs_mean,8,-0.007765618851408362,-0.0063149998895823956,0.005509629212542077,-1.4094630603690659,0.0,0.0078125,0.05
dct_dc_ratio_mean,8,0.011214411896884234,0.003133201313313653,0.021178537957435364,0.5295177561087061,1.0,0.0078125,0.05357142857142857
dct_lowfreq_abs_mean,8,-0.01448476454243064,-0.015083372592926025,0.00939645280729348,-1.541514105321493,0.0,0.0078125,0.057692307692307696
LH3_entropy,8,-0.3867553209881972,-0.3972256408103716,0.21255450728328198,-1.819558314389208,0.0,0.0078125,0.0625
LH2_entropy,8,-0.9614755609793622,-0.9711403382171504,0.40677948961488497,-2.3636284166874564,0.0,0.0078125,0.06818181818181818
LH2_absmean,8,-0.012140710023231804,-0.014047512784600258,0.007236891152573144,-1.677614015089209,0.0,0.0078125,0.075
LH1_entropy,8,-1.1992063760688012,-1.238079040905046,0.6825608573741889,-1.756922277497932,0.0,0.0078125,0.08333333333333333
LH1_absmean,8,-0.006024810922099277,-0.0064324624836444855,0.003271533399610082,-1.8415862490712596,0.0,0.0078125,0.09375
HL1_entropy,8,-1.1355825385047442,-1.0830993019083064,0.6038797061395678,-1.8804780603809363,0.0,0.0078125,0.10714285714285714
HL2_entropy,8,-0.8972551020377889,-0.8978520062741155,0.3896739737730283,-2.3025789825019443,0.0,0.0078125,0.125
HL2_absmean,8,-0.015866915229707956,-0.013189105316996574,0.012926858780161893,-1.2274378098767504,0.0,0.0078125,0.15
HL1_absmean,8,-0.00913823745213449,-0.00648287427611649,0.009668238164627321,-0.9451812519025528,0.0,0.0078125,0.1875
HH3_absmean,8,-0.01377101056277752,-0.011222705245018005,0.009443772357322279,-1.4582107702013902,0.0,0.0078125,0.25
HH2_entropy,8,-1.3136491102795254,-1.3682705926897147,0.5712451481162149,-2.2996241011613368,0.0,0.0078125,0.375
HH2_absmean,8,-0.010311801277566701,-0.009552286937832832,0.005951434129377618,-1.732658222102355,0.0,0.0078125,0.75
