feature,n_pairs,mean_delta_ai_minus_real,median_delta,std_delta,cohens_dz,direction_consistency_ai_gt_real,exact_signflip_p,q_fdr
qwt_LH2_phase_rb_std,8,-0.30009156465530396,-0.37155598402023315,0.21315835808119662,-1.4078339097592063,0.0,0.0078125,0.025320030120481927
qwt_LH2_phase_rg_circular_coherence,8,0.3156883185438346,0.38427198957651854,0.20746046932250423,1.5216793810154097,1.0,0.0078125,0.025320030120481927
qwt_LH2_phase_rg_std,8,-0.3163551539182663,-0.3712186813354492,0.2121403570724584,-1.4912539899714246,0.0,0.0078125,0.025320030120481927
qwt_LH2_quaternion_kurtosis,8,7.858756482601166,7.881708145141602,5.478592497825107,1.4344480787211198,1.0,0.0078125,0.025320030120481927
qwt_LH2_quaternion_skewness,8,0.6198657006025314,0.5490820407867432,0.4347233524920723,1.425885444269607,1.0,0.0078125,0.025320030120481927
qwt_LH3_phase_gb_std,8,-0.12453536689281464,-0.11717474460601807,0.09499953781074212,-1.3109049766211887,0.0,0.0078125,0.025320030120481927
synth_b_p2_x_mean,8,0.1278688912279904,0.11621839087456465,0.06601930177207442,1.9368410115794015,1.0,0.0078125,0.025320030120481927
synth_b_p2_y_mean,8,0.11443725496064872,0.10024712840095162,0.0735442529974857,1.5560325966538957,1.0,0.0078125,0.025320030120481927
synth_b_p4_x_mean,8,0.26993682063766755,0.2504289244534448,0.16496392956998895,1.636338448904019,1.0,0.0078125,0.025320030120481927
synth_b_p4_y_mean,8,0.2835342751350254,0.2508058142848313,0.20734617841584937,1.367443939894444,1.0,0.0078125,0.025320030120481927
synth_g_p2_x_mean,8,0.11899073712993413,0.10403435584157705,0.06491742092996754,1.8329553981865747,1.0,0.0078125,0.025320030120481927
synth_g_p2_y_mean,8,0.10625530799734406,0.08798875007778406,0.07078336110570468,1.5011339718478072,1.0,0.0078125,0.025320030120481927
synth_g_p4_x_mean,8,0.26067361305467784,0.2400008486583829,0.16921166010532515,1.5405180286773532,1.0,0.0078125,0.025320030120481927
synth_g_p4_y_mean,8,0.27199410198954865,0.23476578062400222,0.2133118556176454,1.275100726126959,1.0,0.0078125,0.025320030120481927
synth_r_p2_x_mean,8,0.1280639842734672,0.11719528213143349,0.06477908364328344,1.9769341749054736,1.0,0.0078125,0.025320030120481927
synth_r_p2_y_mean,8,0.1100348203908652,0.09007620019838214,0.07409971222746928,1.4849561095876231,1.0,0.0078125,0.025320030120481927
synth_r_p4_x_mean,8,0.26497740880586207,0.2439226759597659,0.1660290754459603,1.595969911258753,1.0,0.0078125,0.025320030120481927
synth_r_p4_y_mean,8,0.27395474060904235,0.24031880544498563,0.2110266797420192,1.2981995496680938,1.0,0.0078125,0.025320030120481927
