feature,mean_delta_ai_minus_real,median_delta,cohens_dz,direction_consistency_ai_gt_real,exact_signflip_p,q_fdr,abs_effect
LH1_energy,-0.00048530736785323825,-0.000519656838150695,-0.8626304089611662,0.25,0.046875,0.0813508064516129,0.8626304089611662
lbp_dominant_bin,0.1059870719909668,0.12861061096191406,0.8602439984951094,0.75,0.046875,0.0813508064516129,0.8602439984951094
qwt_HH2_quaternion_skewness,0.6444210559129715,0.6070621013641357,0.8573116270237707,0.625,0.0703125,0.11394013554216867,0.8573116270237707
qwt_HL2_quaternion_kurtosis,2.857067346572876,2.904783248901367,0.8554543645165303,0.875,0.046875,0.0813508064516129,0.8554543645165303
qwt_HL3_quaternion_kurtosis,3.42509126663208,2.2096943855285645,0.83956993599093,0.75,0.046875,0.0813508064516129,0.83956993599093
qwt_HL2_magnitude_std,-0.01410813583061099,-0.018152661621570587,-0.8384850260201273,0.25,0.0546875,0.09137228260869565,0.8384850260201273
qwt_HL1_magnitude_energy,-0.0013790548000542913,-0.0015092139365151525,-0.8241857243341552,0.25,0.0625,0.10251524390243902,0.8241857243341552
qwt_LH3_quaternion_skewness,0.49206261336803436,0.40969616174697876,0.8082465705451597,0.875,0.0390625,0.07348120629370629,0.8082465705451597
qwt_LH3_phase_rg_circular_coherence,0.09434728976339102,0.07646394148468971,0.7989243540313429,0.75,0.046875,0.0813508064516129,0.7989243540313429
glcm_ASM_std,0.0013099378586634116,0.0008513868909461528,0.7716099114301591,0.875,0.0546875,0.09137228260869565,0.7716099114301591
HL1_energy,-0.0011663416189549025,-0.000717179209459573,-0.7693158833074155,0.25,0.046875,0.0813508064516129,0.7693158833074155
qwt_LH1_magnitude_std,-0.017528509721159935,-0.01519276574254036,-0.7592551651410226,0.25,0.0859375,0.13440225290697674,0.7592551651410226
HL3_absmean,-0.016771985683590174,-0.01803121715784073,-0.7558262340341576,0.25,0.0546875,0.09137228260869565,0.7558262340341576
contour_perimeter_per_area,-0.02845503586996756,-0.018541933590768167,-0.7546863755569112,0.0,0.0078125,0.025320030120481927,0.7546863755569112
qwt_LH1_magnitude_energy,-0.0033867541642393917,-0.0021278952481225133,-0.7503777830478706,0.25,0.046875,0.0813508064516129,0.7503777830478706
qwt_LH3_phase_rb_circular_coherence,0.08629202947486192,0.05162836238741875,0.7455357883005034,0.75,0.046875,0.0813508064516129,0.7455357883005034
edge_density,-0.015447139739990234,-0.010406494140625,-0.7429603435755208,0.0,0.0078125,0.025320030120481927,0.7429603435755208
HH1_energy,-0.00029190101668064017,-0.00011693935084622353,-0.7417790637334527,0.25,0.0859375,0.13440225290697674,0.7417790637334527
qwt_HH1_magnitude_energy,-0.0008494248963870632,-0.0003404031813261099,-0.727885459177467,0.25,0.0859375,0.13440225290697674,0.727885459177467
qwt_LH3_phase_rb_std,-0.06560666859149933,-0.04850292205810547,-0.7271102405743506,0.125,0.03125,0.061810661764705885,0.7271102405743506
laplacian_std,-0.0035000765055883676,-0.0024187788367271423,-0.7210867310664372,0.25,0.078125,0.12509300595238096,0.7210867310664372
low_freq_ratio,0.04472421109676361,0.015886574983596802,0.7039453705509455,0.875,0.015625,0.03686951754385965,0.7039453705509455
glcm_energy_mean,0.03503196402095274,0.03513070738181684,0.6988343133246049,0.75,0.09375,0.14410714285714285,0.6988343133246049
glcm_ASM_mean,0.014696044249230853,0.015947131272433815,0.6938632831199225,0.75,0.09375,0.14410714285714285,0.6938632831199225
crossdiff_std,-0.009589940949808806,-0.0057257963344454765,-0.6910632086338832,0.375,0.125,0.18475274725274726,0.6910632086338832
qwt_HL3_phase_rg_std,-0.06909091770648956,-0.04619574546813965,-0.6851367651617882,0.5,0.125,0.18475274725274726,0.6851367651617882
qwt_LH3_magnitude_mean,-0.026585301384329796,-0.03139247000217438,-0.6841288830964847,0.25,0.09375,0.14410714285714285,0.6841288830964847
spectral_centroid,-0.019977277726866305,-0.006463995669037104,-0.6837350262992354,0.25,0.03125,0.061810661764705885,0.6837350262992354
